"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000073842"	-12.717436999713	10.2385551370104	0	0
"ENSMUSG00000072849"	-9.91296614513186	11.4184320208518	0	0
"ENSMUSG00000079507"	6.93565942725207	4.34224584423073	1.35752757814901e-208	6.68356077642031e-205
"ENSMUSG00000078683"	-8.66599668213149	5.71291863848418	3.41231116703618e-194	1.25999589842811e-190
"ENSMUSG00000096674"	-8.27499474463576	8.13202925006952	6.9484589852532e-169	2.05257478424379e-165
"ENSMUSG00000004038"	5.28905744280442	7.76318632343169	6.39959519946449e-152	1.57536701826818e-148
"ENSMUSG00000096688"	-6.7692721905789	7.28392778764133	1.45221808441356e-129	3.0641801581126e-126
"ENSMUSG00000111709"	5.3769441445522	5.21879701815347	9.04373451341603e-127	1.66969948453943e-123
"ENSMUSG00000070811"	10.148038371593	4.57895962022767	3.4264647427136e-126	5.62320936109776e-123
"ENSMUSG00000067656"	5.77889284412986	3.41407288607543	5.65192549193507e-121	8.3478939515881e-118
"ENSMUSG00000027870"	10.040139834305	2.22018992402928	1.99973240511003e-116	2.50627639844898e-113
"ENSMUSG00000039323"	-5.22877526894516	7.97168433798361	2.03624351938983e-116	2.50627639844898e-113
"ENSMUSG00000078673"	-5.42657834800855	9.57486740428313	2.5007391912432e-116	2.84122445035862e-113
"ENSMUSG00000091867"	4.72020414584477	6.78288181419882	1.48719781554669e-111	1.56899369540176e-108
"ENSMUSG00000073834"	-6.37540044534345	8.57695679634785	2.44819911452141e-110	2.41066006143208e-107
"ENSMUSG00000040583"	11.3364236188493	7.0481175113302	7.06082305540655e-107	6.51802228302217e-104
"ENSMUSG00000073830"	-7.50717783246639	8.91017987588032	3.14671770225143e-106	2.73394238013256e-103
"ENSMUSG00000094793"	-7.73684480467186	3.92249997640784	7.81019306814417e-106	6.40869731202719e-103
"ENSMUSG00000039519"	-4.29345792084441	5.8107792251	5.79208278022578e-103	4.50258224547025e-100
"ENSMUSG00000012187"	4.32797143465956	2.75278938121124	6.94221746829259e-103	5.12682760033408e-100
"ENSMUSG00000024526"	8.33158382809255	4.3339212557297	9.97061801437876e-103	7.01266800344639e-100
"ENSMUSG00000072115"	-2.77513579719254	6.53369040544437	3.27251941328827e-101	2.19705053337581e-98
"ENSMUSG00000074183"	5.17061480954407	5.32035739869871	1.04224203083822e-100	6.69300643281764e-98
"ENSMUSG00000039878"	3.60613466674858	2.44887682652712	1.20579592047391e-97	7.42066906058316e-95
"ENSMUSG00000040562"	2.74562938964967	6.56244290929144	2.75796726336581e-97	1.62940705919652e-94
"ENSMUSG00000032231"	3.32949382468959	5.02991069046536	3.36049024236642e-96	1.90901695691354e-93
"ENSMUSG00000028555"	3.77256099222354	2.33075640478267	2.15278813128628e-92	1.17765484070735e-89
"ENSMUSG00000017754"	2.54666222216597	5.61027365396797	5.10134053203319e-92	2.69095713064751e-89
