name ID ob__vs_WT__p.val ob__vs_WT__p.adj significant ob__vs_WT__significant ob__vs_WT__ratio ob__centered WT__centered
1 Acaa1b ENSMUSP00000010795 8.96487835242274e-10 3e-13 TRUE TRUE 3.09 1.54 -1.54
2 Acly ENSMUSP00000103012 9.97604924040638e-07 0.00525 TRUE TRUE 3.26 1.63 -1.63
3 Acot11 ENSMUSP00000099823 3.52851283970752e-08 5.42e-06 TRUE TRUE 3.07 1.53 -1.53
4 Acot2 ENSMUSP00000021649 3.10057465381232e-06 0.023 TRUE TRUE 1.74 0.872 -0.872
5 Acot3 ENSMUSP00000112678 2.27808934219922e-08 1.37e-06 TRUE TRUE 2.94 1.47 -1.47
6 Acot4 ENSMUSP00000021652 7.80028418141361e-07 0.0036 TRUE TRUE 4.17 2.09 -2.09
7 Acsl5 ENSMUSP00000046585 8.10715941322741e-07 0.00378 TRUE TRUE 1.48 0.738 -0.738
8 Acss3 ENSMUSP00000128209 1.31203397893973e-06 0.00789 TRUE TRUE 1.9 0.95 -0.95
9 Aldh16a1 ENSMUSP00000148069 2.72012851264659e-07 0.000696 TRUE TRUE 1.39 0.693 -0.693
10 Aldh1a7 ENSMUSP00000025656 1.01982387763591e-07 9.31e-05 TRUE TRUE 1.32 0.661 -0.661
11 Aldh1b1 ENSMUSP00000041260 3.55742822374382e-06 0.0264 TRUE TRUE 1.47 0.734 -0.734
12 Aldh3a2 ENSMUSP00000073764 3.79060434249638e-07 0.00118 TRUE TRUE 1.16 0.581 -0.581
13 Anxa5 ENSMUSP00000029266 5.42802118612844e-07 0.00212 TRUE TRUE 1.65 0.825 -0.825
14 Aox3 ENSMUSP00000049391 1.77815133595516e-06 0.012 TRUE TRUE -1.34 -0.669 0.669
15 Apmap ENSMUSP00000040840 6.31716302480172e-06 0.0464 TRUE TRUE 1.3 0.65 -0.65
16 Apoa4 ENSMUSP00000034585 3.8724113748062e-07 0.00121 TRUE TRUE 3.17 1.59 -1.59
17 Arsb ENSMUSP00000088964 3.52029356278256e-06 0.0261 TRUE TRUE -1.8 -0.898 0.898
18 Atox1 ENSMUSP00000104485 4.77531728044832e-07 0.00171 TRUE TRUE 1.36 0.681 -0.681
19 Bnip3 ENSMUSP00000148170 9.54824277506599e-08 8.13e-05 TRUE TRUE -3.21 -1.61 1.61
20 C8a ENSMUSP00000102420 1.60881194943256e-07 0.00026 TRUE TRUE -3.21 -1.61 1.61
21 Capg ENSMUSP00000121121 7.26406824609515e-07 0.00327 TRUE TRUE 3.28 1.64 -1.64
22 Cbr1 ENSMUSP00000049394 3.83787838156691e-06 0.0283 TRUE TRUE 1.03 0.516 -0.516
23 Cd36 ENSMUSP00000143061 4.58944941951582e-07 0.00161 TRUE TRUE 1.58 0.788 -0.788
24 Ces2a ENSMUSP00000034346 2.27106077139255e-07 0.000514 TRUE TRUE -1.52 -0.76 0.76
25 Ces3b ENSMUSP00000090909 8.2085785982319e-08 5.81e-05 TRUE TRUE -2.52 -1.26 1.26
26 Chchd2 ENSMUSP00000091835 1.33946558179016e-07 0.000173 TRUE TRUE 2.5 1.25 -1.25
27 Cpq ENSMUSP00000154400 8.0939692772581e-07 0.00377 TRUE TRUE -1.06 -0.529 0.529
28 Cyp1a2 ENSMUSP00000034860 3.14974578388431e-06 0.0234 TRUE TRUE -1.18 -0.592 0.592
29 Cyp2b9 ENSMUSP00000080846 1.54606882696723e-12 7.01e-14 TRUE TRUE 7.88 3.94 -3.94
30 Cyp2c23 ENSMUSP00000148377 2.83214544575855e-06 0.0209 TRUE TRUE -1.84 -0.919 0.919
31 Cyp2c37 ENSMUSP00000045362 3.23755751158882e-06 0.024 TRUE TRUE -1.79 -0.895 0.895
32 Cyp2c54 ENSMUSP00000048284 4.56982426136993e-07 0.0016 TRUE TRUE -2.87 -1.43 1.43
33 Cyp2c70 ENSMUSP00000060584 2.59431848729496e-06 0.0189 TRUE TRUE -1.55 -0.775 0.775
34 Cyp2d9 ENSMUSP00000086530 2.4917856720038e-07 0.000604 TRUE TRUE -1.88 -0.941 0.941
35 Cyp7b1 ENSMUSP00000037487 8.7769185276259e-11 7.01e-14 TRUE TRUE -7.33 -3.66 3.66
36 Dhrs7b ENSMUSP00000104358 3.24647676958662e-06 0.0241 TRUE TRUE 1.94 0.971 -0.971
37 Dhx9 ENSMUSP00000038135 1.77691409758549e-07 0.00032 TRUE TRUE -1.2 -0.602 0.602
38 Dnajb11 ENSMUSP00000137542 2.00693421613197e-07 0.000408 TRUE TRUE -1.4 -0.699 0.699
39 Entpd5 ENSMUSP00000114011 7.77613855260711e-08 5.11e-05 TRUE TRUE 1.2 0.599 -0.599
40 Erp44 ENSMUSP00000030028 1.49511654312183e-06 0.0095 TRUE TRUE -1.12 -0.56 0.56
41 Fasn ENSMUSP00000145585 1.66112207442874e-06 0.011 TRUE TRUE 4.29 2.15 -2.15
42 Fasn.1 ENSMUSP00000146068 1.5508942683488e-06 0.00999 TRUE TRUE 3.4 1.7 -1.7
43 Fbl ENSMUSP00000037613 4.95709616348905e-06 0.0366 TRUE TRUE -1.03 -0.514 0.514
44 Fdps ENSMUSP00000142770 2.37785140710735e-06 0.0171 TRUE TRUE 1.99 0.997 -0.997
45 Gm3776 ENSMUSP00000150224 1.65797145746485e-08 4.59e-07 TRUE TRUE 3.05 1.52 -1.52
46 Gm4951 ENSMUSP00000031549 3.46704707384156e-07 0.00103 TRUE TRUE 2.21 1.1 -1.1
47 Gpd1 ENSMUSP00000023760 9.77592968299282e-08 8.54e-05 TRUE TRUE 1.24 0.62 -0.62
48 Gpi1 ENSMUSP00000049355 2.81230328326809e-07 0.000733 TRUE TRUE 1.02 0.512 -0.512
49 Gpt2 ENSMUSP00000034136 1.83327713346367e-07 0.000341 TRUE TRUE 1.7 0.852 -0.852
50 Gstm2 ENSMUSP00000012348 7.10641846413174e-09 1.54e-08 TRUE TRUE 2.62 1.31 -1.31
51 Gstm3 ENSMUSP00000004136 3.70495512509724e-10 7.01e-14 TRUE TRUE 3.49 1.75 -1.75
52 Gstm6 ENSMUSP00000102296 4.12678212566001e-06 0.0303 TRUE TRUE 1.27 0.636 -0.636
53 Gstp1 ENSMUSP00000158400 6.06939436274435e-09 7.97e-09 TRUE TRUE -2.29 -1.14 1.14
54 Hmgcs1 ENSMUSP00000153064 6.72122701569197e-06 0.049 TRUE TRUE 4.59 2.29 -2.29
55 Hnmt ENSMUSP00000110142 3.95326501371221e-06 0.0291 TRUE TRUE 1.17 0.585 -0.585
56 Hsd17b4 ENSMUSP00000025385 1.11185456023048e-06 0.00619 TRUE TRUE 1.8 0.902 -0.902
57 Hsd17b7 ENSMUSP00000027989 7.89853418435122e-07 0.00366 TRUE TRUE 2.04 1.02 -1.02
58 Hsd3b5 ENSMUSP00000041442 2.45871740293184e-07 0.00059 TRUE TRUE -7.52 -3.76 3.76
