Liv__1 Liv__2 Liv__3 Liv__4 Liv__5 Myo__1 Myo__2 Myo__3 Myo__4 Myo__5
1110004F10Rik 25.6711030592164 26.2724691099938 26.0367194238509 26.0586526649315 26.5417944298588 NA NA NA NA NA
1300017J02Rik 27.0645502695575 26.826062998546 26.4259140533184 26.3163717371319 26.7129741765574 NA NA NA NA NA
1600014C10Rik 26.2137767262226 26.4589883717733 25.4667833722983 25.9894503635819 NA NA NA NA NA NA
2200002D01Rik 24.359943589685 24.2227184382684 24.0983262852663 24.601123189841 24.0220253484631 NA NA NA NA NA
3110040N11Rik 24.9943577403919 24.9301904561054 24.9264940888959 24.8680201275836 25.0344891787525 NA NA NA NA NA
43891 30.3599688449615 30.6460031346956 29.9750845218271 29.9306257700436 30.2520806138251 NA NA NA NA NA
43892 32.0533978488749 32.2375149510727 31.7155221895377 31.1286524937257 31.9962016851195 25.6240614060791 24.4293869851026 NA 23.2379162996917 22.297123678007
44076 28.2619769623591 29.3960944391424 29.2654163232939 29.442390776457 28.4285457647121 NA 27.9896878858851 27.4365708162126 25.7186187431968 27.5666100009001
44081 29.3078007131968 29.0338135944757 29.090667788017 29.0803285776682 29.2500512352687 27.1675542482002 26.5659308411238 27.8507509463328 26.9477155520461 26.8056658957227
44083 28.8338040608912 28.7890145527613 28.8143672617585 28.754724352308 28.9025291548812 NA NA NA NA NA
44084 25.7813629077628 26.2213233167585 25.2245971698183 25.3964857094904 25.9296831644714 NA NA NA NA NA
44085 27.4135745480955 27.0504471155923 27.5249731687836 27.3573783642882 26.9164280994849 NA 25.6706048491316 NA NA 26.0051720058883
4931406C07Rik 31.624153738477 31.1501922814625 31.1588826402188 31.0262284783367 31.4674647540044 NA 21.5663083147074 NA NA NA
A1cf 29.6992185256581 29.7733201938566 29.9694603573108 29.9997788410067 29.6707170061528 NA NA NA NA NA
A230050P20Rik 24.3167738422659 24.4534137632077 24.6521713159142 24.0561125660439 24.6615699767064 NA NA NA NA NA
