Protein.ID Gene.Name name ID
1 ENSMUSP00000146007 1110004F10Rik 1110004F10Rik ENSMUSP00000146007
2 ENSMUSP00000035163 1300017J02Rik 1300017J02Rik ENSMUSP00000035163
3 ENSMUSP00000137538 1600014C10Rik 1600014C10Rik ENSMUSP00000137538
4 ENSMUSP00000032808 2200002D01Rik 2200002D01Rik ENSMUSP00000032808
5 ENSMUSP00000026092 3110040N11Rik 3110040N11Rik ENSMUSP00000026092
6 ENSMUSP00000139716 43891 43891 ENSMUSP00000139716
7 ENSMUSP00000066715 43892 43892 ENSMUSP00000066715
8 ENSMUSP00000136366 44076 44076 ENSMUSP00000136366
9 ENSMUSP00000127641 44081 44081 ENSMUSP00000127641
10 ENSMUSP00000101961 44083 44083 ENSMUSP00000101961
11 ENSMUSP00000129023 44084 44084 ENSMUSP00000129023
12 ENSMUSP00000144136 44085 44085 ENSMUSP00000144136
13 ENSMUSP00000136717 4931406C07Rik 4931406C07Rik ENSMUSP00000136717
14 ENSMUSP00000153542 A1cf A1cf ENSMUSP00000153542
15 ENSMUSP00000045384 A230050P20Rik A230050P20Rik ENSMUSP00000045384
16 ENSMUSP00000029325 Aadac Aadac ENSMUSP00000029325
17 ENSMUSP00000078436 Aadat Aadat ENSMUSP00000078436
18 ENSMUSP00000003710 Aak1 Aak1 ENSMUSP00000003710
19 ENSMUSP00000034441 Aars Aars ENSMUSP00000034441
20 ENSMUSP00000067912 Aarsd1 Aarsd1 ENSMUSP00000067912
21 ENSMUSP00000031707 Aass Aass ENSMUSP00000031707
22 ENSMUSP00000063548 Abat Abat ENSMUSP00000063548
23 ENSMUSP00000035458 Abca6 Abca6 ENSMUSP00000035458
24 ENSMUSP00000099771 Abcb11 Abcb11 ENSMUSP00000099771
25 ENSMUSP00000003717 Abcb4 Abcb4 ENSMUSP00000003717
26 ENSMUSP00000033695 Abcb7 Abcb7 ENSMUSP00000033695
27 ENSMUSP00000026208 Abcc2 Abcc2 ENSMUSP00000026208
28 ENSMUSP00000021231 Abcc3 Abcc3 ENSMUSP00000021231
29 ENSMUSP00000002850 Abcc6 Abcc6 ENSMUSP00000002850
